,cost_for_two,cuisines,locality,rating,rest_name,votes
4773,450,"['North Indian', 'Chinese', 'Street Food', 'South Indian']",Marathahalli,                                         3.5                                     ,Mumbai's Munch                                     ,52
4774,100,"['South Indian', 'Kerala']",Hennur,                                         3.6                                     ,Janatha Cafe                                     ,33
4775,300,['North Indian'],Thippasandra,                                         3.5                                     ,Swad Punjabi Dhaba                                     ,27
4776,800,"['Andhra', 'Biryani', 'Mughlai']",JP Nagar,                                         3.6                                     ,The Kitchen                                     ,16
4777,300,['Chinese'],BTM,                                         3.3                                     ,Manchu Cafe                                     ,39
4778,300,"['South Indian', 'Chinese', 'North Indian']",Whitefield,                                         3.8                                     ,Srinidhi Sagar                                     ,70
4779,400,"['North Indian', 'Chinese']",RT Nagar,                                         3.4                                     ,Punjabi Restaurant                                     ,260
4780,650,"['North Indian', 'Chinese', 'Biryani', 'Afghan']",Nagarbhavi,                                         3.8                                     ,Boss N Dine                                     ,72
4781,200,"['South Indian', 'Street Food']",Magadi Road,                                         3.5                                     ,Sanje Time                                     ,12
4782,450,"['Biryani', 'North Indian', 'Chinese']",BTM,                                         3.5                                     ,Dum Biryani Hub                                     ,153
4783,400,['Italian'],Jayanagar,                                         3.9                                     ,Pizza Stop                                     ,387
4784,250,"['Beverages', 'Desserts']","Orion Mall, Malleshwaram",                                         4.1                                     ,Oh So Stoned!                                     ,99
4785,600,"['Andhra', 'Chinese']",Hebbal,                                         3.5                                     ,Urban Delicacy                                     ,13
4786,500,"['Rolls', 'North Indian', 'Fast Food']",Indiranagar,                                         4.0                                     ,Tayabbs                                     ,754
4787,650,"['Continental', 'North Indian', 'South Indian']",Koramangala 4th Block,                                         3.6                                     ,Maven Foods                                     ,13
4788,400,"['South Indian', 'Biryani']",Bannerghatta Road,                                         3.3                                     ,Ruchi Foods                                     ,12
4789,400,"['North Indian', 'Hyderabadi', 'Chinese']",RT Nagar,                                         3.7                                     ,Sathya's Kitchen                                     ,127
4790,450,"['Cafe', 'Fast Food']",Banaswadi,                                         3.9                                     ,The Sanctuary                                     ,65
4791,350,"['Fast Food', 'Chinese', 'North Indian', 'Rolls']",Rajarajeshwari Nagar,                                         2.8                                     ,Rock n Roll Restaurant                                     ,26
4792,200,"['South Indian', 'North Indian', 'Chinese']",Bommasandra,                                         3.1                                     ,Sri Matha Sagar                                     ,10
4793,400,['North Indian'],RT Nagar,                                         3.3                                     ,Indian Spice                                     ,6
4794,450,"['North Indian', 'South Indian', 'Chinese']",Seshadripuram,                                         4.0                                     ,New Samrat Restaurant                                     ,81
4795,400,"['South Indian', 'North Indian', 'Biryani']",Kengeri,                                         3.6                                     ,Hotel Cauvery                                     ,22
4796,400,"['North Indian', 'Chinese', 'Fast Food']",New BEL Road,                                         3.8                                     ,New Golden Emperor                                     ,244
4797,300,['Biryani'],HSR,                                         4.1                                     ,Noon's                                     ,194
4798,300,"['North Indian', 'Chinese']",CV Raman Nagar,                                         3.8                                     ,Tiffun                                     ,120
4799,500,"['Biryani', 'Chinese', 'Kerala']",HSR,                                         3.1                                     ,Ithaa's Biriyani                                     ,20
4800,200,"['Burger', 'Sandwich', 'Rolls', 'Fast Food']",New BEL Road,                                         3.7                                     ,Multi Snacky Hub                                     ,65
4801,200,['South Indian'],Magadi Road,                                         3.9                                     ,Jackie's Davanagere Butter Dosa Hotel                                     ,42
4802,700,"['North Indian', 'Chinese']",Sarjapur Road,                                         3.3                                     ,Flavours - Octave Hotel & Spa                                     ,200
4803,400,"['North Indian', 'Rajasthani', 'Gujarati']",Electronic City,                                         3.4                                     ,Baba Ramdev Dhaba                                     ,8
4804,700,"['Mediterranean', 'Arabian', 'Lebanese']",Frazer Town,                                         3.9                                     ,Zaks Mediterranean Cuisine                                     ,273
4805,100,['South Indian'],Ulsoor,                                         3.5                                     ,Lemon Rice                                     ,18
4806,"1,300","['North Indian', 'Chinese', 'Italian', 'Pizza', 'Finger Food']",Electronic City,                                         4.2                                     ,Shandys-The Beer Cocktail Hub                                     ,206
4807,450,"['North Indian', 'Chinese']",International Airport,                                         3.3                                     ,Chethan Family Restaurant                                     ,5
4808,600,"['North Indian', 'Chinese', 'Biryani', 'Beverages']",Jakkur,                                         3.3                                     ,Hotel Star Lee                                     ,82
